,,Day,Start Time,End Time,Camp,Neighbourhood,Event Name,Description of Event,,Workshop / Class,Food / Drink,Performance / Show,Wellness / Yoga,Music / Dance,Game / Activity,19+
O0023,L0021,Friday,13:00,14:00,Badgers Hideout,KINDLE,Free Lunch,There is no free lunch.,Friday 13:00 - 14:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0047,L0045,Friday,13:00,19:00,Boobs & Berries,EVAPORATION,B&B Day Party,Shake your booty and hydrate with boozy fruity flavour! Our decks set sail with the slamming jams of the Babes & Beats DJ Collective! These sassy sirens rock our yacht from 1-7pm. Get funky and get frosty with our classic Whisky Lemonade 2-6pm!,Friday 13:00 - 19:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0090,L0088,Friday,13:00,14:00,Camp Who Says Ni,YES...AND?,Pickle Priest,"Confess your sins, and our holy brine may atone you!",Friday 13:00 - 14:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0107,L0105,Friday,13:00,22:00,Campocalypse, SPARK,Fuck Off Friday!,"Campocalypse’s big blow out. This year featuring all day Chaotic hosted events, Open Bar, and closing it out with our classic Live sword combats at 9:30pm. Come by, get drunk, get rowdy, Get fucked up.",Friday 13:00 - 22:00,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O0108,L0106,Friday,13:00,13:45,Campocalypse, SPARK,HOT SAUCE YOGA,MOVE with the burn. STRETCH into the heat. BREATH to survive.,Friday 13:00 - 13:45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0129,L0127,Friday,13:00,15:00,Chill Pudding Camp,PRECIPITATION,Chill Pudding Service!,"Come Come stuff your dusty pie hole with ice cold chill pudding, top it with your favourite special treats from our toppings bar and relax under our big star shade. BYOC. Kids eat free.",Friday 13:00 - 15:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0150,L0148,Friday,13:00,17:00,Disco Loco,CONDENSATION,Friday food offering,Stop by Disco Loco for our Snack Track! --- food available until we run out,Friday 13:00 - 17:00,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
O0183,L0179,Friday,13:00,16:00,Ewe-Turn, SPARK,BaAaAaAaAaAr is open,"Flock to the barn, drinks and yarn. Shepherd wanted",Friday 13:00 - 16:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0184,L0180,Friday,13:00,14:00,Ewe-Turn, SPARK,Herd the sheep,Lost sheep running amok til someone comes along to herd this flock,Friday 13:00 - 14:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0191,L0187,Friday,13:00,14:00,Fairytale BookHub Café & Trash Fence Kid’s Play Area,COLLECTION,Kid’s Fairytale Storytime,Classic Fairytales read aloud for all ages.,Friday 13:00 - 14:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0192,L0188,Friday,13:00,15:00,Fairytale BookHub Café & Trash Fence Kid’s Play Area,COLLECTION,Art & Message Button Pin Workshop,"Come by and design a unique button pin to accessorize or gift! Drawing, collage, and pin supplies provided.",Friday 13:00 - 15:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0197,L0193,Friday,13:00,19:01,Faffway Village,SMOLDER,"Indugle Your Census Thought- provoking questions, daily Oral Administration","form-filling excitement with paper & pencils. Results will be read aloud for the enjoyment of anyone who wishes to Indulge, and catalogued online with previous years’ questions & answers.",Friday 13:00 - 19:01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0261,L0252,Friday,13:00,14:00,Ironic Spin,SANDSTORM,"Bubbles, Beats, and Babies","KPop Demon Hunters has taken over our house and DJ Psybernetix AKA Tired Daddy is throwing down these sick songs and more. Come for an hour- long kids party with bubbles, and costumes. Gigantic bubbles for the kids, bubbly flowing for their adults.",Friday 13:00 - 14:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0262,L0253,Friday,13:00,14:00,Ironic Spin,SANDSTORM,Compulsory Glamour (Facepaint Edition),Compulsory Glamour (Facepaint Edition): One adult. An alarming number of colours. Tiny clients with extremely specific demands and no ability to sit still.,Friday 13:00 - 14:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0426,L0413,Friday,13:00,15:00,Recovery House,EVAPORATION,Henna Tattoos,Henna Tattoos: Come cover your body henna art! Done by our team or DIY,Friday 13:00 - 15:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0443,L0429,Friday,13:00,14:30,Ripple Effect,DOACRACY,Anti-Colonial Discussion,Anti-Colonial Discussion: Join us for a community conversation to envision anti-colonial futures for Otherworld and build community that centres Indigenous Peoples in all that we do.,Friday 13:00 - 14:30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0476,L0461,Friday,13:00,14:30,Six Degrees of Bacon,COLLECTION,Anti-Zionism 101 - Intro to Palestine,"Anti-Zionism 101 - Intro to Palestine: Questions about the occupation & genocide in Palestine? We’re anti- Zionist Jews hoping to share info + help folks unpack concepts around this, what antisemitism is/isn’t, and possible paths toward peace. Come curious to our brave space for learning!",Friday 13:00 - 14:30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0518,L0502,Friday,13:00,14:00,Sound Habitat,EVAPORATION,Muumuus & Mimosas,Muumuus & Mimosas: relax or dance in your muumuu while drinking mimosas,Friday 13:00 - 14:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0549,L0532,Friday,13:00,14:00,The Cottage,DOACRACY,Mycellium in Space with Fox Given,Mycellium in Space with Fox Given: Start your day by connecting the Mycellium in Nature to the Mitochrondria in you. A beautiful moment to learn about Mushrooms and Meditate.,Friday 13:00 - 14:00,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0550,L0533,Friday,13:00,18:00,The Cottage,DOACRACY,DIY Disco Your Life,"DIY Disco Your Life: A sparkly, self‑guided workshop where you turn anything—cups, helmets, water bottles, whatever—into a glittering disco relic using peel‑and‑stick mirror tiles. Shine up your life, one object at a time. Just in time for Studio 54!",Friday 13:00 - 18:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0551,L0534,Friday,13:00,14:00,The Cottage,DOACRACY,Back to Future Eras Day- kickoff- the 2000s,"Back to Future Eras Day- kickoff- the 2000s: All afternoon at the Cottage, we will be going back in time, musically- starting with the 2000s, and spanning one decade an hour til we hit the 60s. Take a break from the boots n’ cats and come relax at the Cottage.",Friday 13:00 - 14:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0580,L0563,Friday,13:00,14:30,The Den,DOACRACY,Filmmaker Club,Filmmaker Club: Make 16mm film loops to be played at night AND make a 16mm film using Bolex Rex cameras,Friday 13:00 - 14:30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,L0575,Friday,13:00,19:06,The Fafffway Village,SMOLDER,Indugle Your Census,"Indugle Your Census: Thought- provoking questions, daily Oral Administration: form-filling excitement with paper & pencils. Results will be read aloud for the enjoyment of anyone who wishes to Indulge, and catalogued online with previous years’ questions & answers.",Friday 13:00 - 19:06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0601,L0583,Friday,13:00,16:00,"Living Room, The",BLACK ROCK,Flair Stitch Project,"Flair Stitch Project: Crochet Circle: All skill levels welcome. Learn some basic stitches, make a granny square for our community quilt with our provided materials, or bring your own project and hang out in a chill space.",Friday 13:00 - 16:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0610,L0592,Friday,13:00,15:00,The Mollusk Nation,ASHLAND,Psychik Nails,Psychik Nails: Lacquer up and listen in. The Moister Oyster Medium offers readings from beyond the veil while you get some extra sparkle and shine on your shelly bits.,Friday 13:00 - 15:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0636,L0619,Friday,13:00,15:00,Really Lost Penguins Chill Cave,CONDENSATION,Really Lost Hot Chocolate,"Really Lost Hot Chocolate: Help! We’re lost! But at least we aren’t cold and lost…because we have hot chocolate! If you can find us, we’ll share it with you! Follow your penguiny senses (or your nose) to our little travelling hot chocolate cart and we’ll warm you up too!",Friday 13:00 - 15:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0638,L0620,Friday,13:00,15:00,Really Lost Penguins Chill Cave,CONDENSATION,Really Lost Snow Cones,"Not all penguins who wander are lost…but we are! It’s ok though, we bring snow with us to keep cool. If you find us, we’ll share it with you! Give us an “ark, ark, ark” and we might even moisten it with one of our many home made syrup flavours.",Friday 13:00 - 15:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0347,L0335,Friday,13:30,15:00,Mother Tree,KINDLE,Healing Hugs from Shaark the Hug Dealer,Healing Hugs from Shaark the Hug Dealer: Healing Hugs with a prescription for a refill.,Friday 13:30 - 15:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0032,L0030,Friday,14:00,15:00,Big Top Rouge,EVAPORATION,Flowstar Foundations,"Flowstar Foundations: Technique, Play & Exploration: Join Froggy as we dive into the basics of Flowstar through movement, freedom, and playful explorations. This workshop welcomes both beginners and experienced Flowstar artists. Flowstars provided or bring your own.",Friday 14:00 - 15:00,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0091,L0089,Friday,14:00,15:00,Camp Who Says Ni,YES...AND?,Electrolyte Elixir Bar,Electrolyte Elixir Bar: Are you hydrated? Didn’t think so. Come replenish your body chemicals with our proprietary health and mana potions,Friday 14:00 - 15:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0092,L0090,Friday,14:00,15:00,Camp Who Says Ni,YES...AND?,Bardic Open Mic,Bardic Open Mic: Minstrel and Songsmith Variety Show!,Friday 14:00 - 15:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O0109,L0107,Friday,14:00,15:00,Campocalypse, SPARK,Thighs vs Melons,"Thighs vs Melons: Fury of the Melons: Come test your mighty thighs against the power of the melon. Squish, hump, booty drop, people’s elbow you way to victory solo or in groups. Or come watch and eat. BYO-Melon",Friday 14:00 - 15:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Friday,14:00,17:00,CLuG,SANDSTORM,Moist Nitro Yerba Mate,Moist Nitro Yerba Mate: Come fill your MUGS with some moist offerings of Nitro Yerba Mate,Friday 14:00 - 17:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0166,L0164,Friday,14:00,16:00,Electric Circus / Tabula Rasa,MIDDLE EARTH,The Feeling Map,"The Feeling Map: Collaborative string art project. Each colour holds a feeling. Choose one that feels closest to you, then attach it to the daily map, 3 feeling maps created over 3 days. Return at dusk for the glow.",Friday 14:00 - 16:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0170,L0168,Friday,14:00,17:00,Electric Circus,MIDDLE EARTH,Rave Scouts Jamboree,"Come join the Rave Scouts of the Salish Sea for hippie watching, sporbs, and hilarious scouts fuckery. Bring your best scouting outfit to join the cult *ahem* scout troupe and receive a bonus something-or-other. Also bring a cup for the bar!",Friday 14:00 - 17:00,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
O0185,L0181,Friday,14:00,15:00,Ewe-Turn, SPARK,Blind wine tasting,"Sommalier shepherd changes water into wine, before your blindfolded eyes",Friday 14:00 - 15:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0205,L0201,Friday,14:00,14:30,FDK’s Raveforest Cafe,TINKER,Sound Bath - A Bath of Sounds,"A somatic journey exploring how moistness unites us - A guided sensory meditation, leading into a bath of familiar, unfamiliar, and wet sounds.",Friday 14:00 - 14:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,Friday,14:00,16:00,Touch Temple,,Touch Tunnel,"Slip Into Something Sensory: At Touch Temple Camp downstairs (look for hand flags and red&gold circus tent), take 10 minutes for a guided journey through fire, water, air, and ground touch. Invigorating, sensory, and a little moist. Wake your boggy senses!",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Friday,14:00,18:00,Fix-it Station, SPARK,Fix-it Station: Open for drop-ins,"The place to go to help you express yourself & decommodify by fixin yer shit. We’ve got a bunch of tools (sewing, grommets, rivets, glues, tapes, + more!) and supplies to help you repair your OW finery (or just come hang out and make!)",Friday 14:00 - 18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0300,L0291,Friday,14:00,15:00,Little Big,SMOLDER,Clown Church,Time to unleash your inner fool! Come get silly and unhinged through beginner-friendly clowning and improv games.,Friday 14:00 - 15:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0371,L0359,Friday,14:00,15:00,Nauti Norse,SIDEQUEST,Consent and Kink with Skylar (19+),Come learn the rules of consent for the Tanric Tavern. This general consent workshop gets you a stamp to our SOP space. The workshop will be followed by some kinky education.,Friday 4:00 - 15:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
O0312,L0302,Friday,14:00,16:00,Lunar Moth Camp,BROOD,Temporary Tattoo/Body Adornment Station,Come get prettied up with temporary tattoos and various body adornment offerings.,Friday 14:00 - 16:00,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
,,Friday,14:00,15:00,True Love Temple,BROOD,"HANDFASTING - How to tie the knot. with
Taiya & Paul Walker","Handfasting is an ancient Celtic and Medieval ritual, called “tying the knot,” where a couple’s hands are bound together with cords or ribbons to symbolize their union, commitment, or marriage. Prepare to do the true love handfasting on Sat. 6:00pm",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Friday,14:00,15:30,Wild Things Camp,COLLECTION,Poi Spinning -Play space & Workshop,"Swing, twirl, and whirl as you find your flow playing and learning poi at this kid friendly workshop.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0323,L0313,Friday,14:00,15:00,Mahjong Camp,PRECIPITATION,Kung Fu Tea,"Slow down, breathe in the forest, and share a cup of Chinese tea. A quiet ritual for wanderers, talkers, and the gently dehydrated.",Friday 14:00 - 15:00,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
,,Friday,14:00,15:00,Wild Things Camp,COLLECTION,Robot Making Workshop,"Beep boop... beep beep boop. Build your own robot! Mix, match and create your robot buddy - then bring it to life! By kids, for kids!",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Friday,14:00,15:00,Bass House Brunch Bunch,COLLECTION,Moonlit Tales,Where kids and kids drift off into dreamland with interactive storytimes and tea. ,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
O0415,L0402,Friday,14:00,16:00,Pogs 4 Applause,DOACRACY,Fun Dips & Pog Flips,"The mats are out and the tubes are open! Come through for open-play Pogs, Magic, Pokémon, or board games. Enjoy some nostalgic snacks and tunes while you play.",Friday 14:00 - 16:00,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
O0499,L0483,Friday,14:00,15:00,Slut Camp,SIDEQUEST,Ass Throwing,"Move that body: Come move with us! No matter your physical limitations, we will explore techniques and approaches for throwing ass in a way that feels good in your body. Arrive on time to stretch or come warmed and ready.",Friday 14:00 - 15:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0500,L0484,Friday,14:00,15:00,Slut Camp,SIDEQUEST,Wet Tidy Whittie Contest,Flaunt your moist gennies! Wetter is better. BYOTWs. All genders welcome! Obvs! 19+,Friday 14:00 - 15:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
O0552,L0535,Friday,14:00,15:00,The Cottage,DOACRACY,Rainbow Recovery Friday 12-Step Meeting,"An open, judgment- free gathering where all paths to recovery are honored. Whether you’re just beginning your journey, are sober-curious, or have been sober for years, this daily meeting is your chance to pause, breathe, and lean on your community.",Friday 14:00 - 15:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0604,L0586,Friday,14:00,15:30,The Low Bar,SCORCH,Low Expectation Slip N Slide,"Innocent MOIST fun! PSA to persons born in the 1900’s: you’re bones are vintage, slip with caution!",Friday 14:00 - 15:30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Friday,14:00,14:25,Tune Town Stage,BLACK ROCK,Clowning / Improv,Clowning / Improv,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0084,L0082,Friday,14:30,15:30,Camp Wet Landing,EVAPORATION,In the Sh*t-Mixer,"The cocktail hour nobody asked for. A curated mix of the sh*ttiest non-hits and guilty pleasure bangers, paired with drinks that’ll make you say “why, though?” 19+, bring your cup!",Friday 14:30 - 15:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
O0211,L0207,Friday,14:30,16:30,Fix-it Station, SPARK,DIY Wearable Earplugs,"Fancy protecting your hearing AND being fashionable AF? Come join us to make beaded dongles/earrings for earplugs, so you’ll always have them handy! Reusable silicone earplugs and materials provided.",Friday 14:30 - 16:30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Friday,14:30,16:00,Touch Temple,,Touch Your Desires Conversation Cafe,"At Touch Temple Camp downstairs (hand flags & red/gold circus tent), pull up a seat at this Café serving a menu of poetry, humor, bad advice, coaching, and consensual touch, all served with empathy and fun.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0134,L0132,Friday,15:00,17:00,Compliment Camp,CONDENSATION,Crisis Counselling,Need some de- escalation? Feelings are feeling too big for ya? Come down to Compliment Camp and speak with our working crisis counsellor for any mental health and/or substance use crisis concerns,Friday 15:00 - 17:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0142,L0140,Friday,15:00,17:00,Crib Bar,MOOP,"Wiener, wiener, Crib Bar zingers","Announcing OW 2025’s Highest Hand winner! Celebrate Wayne (with or without him) with drinks, snacks and terrible puns for everyone. Try your hand to help OW beat WtiF this year! Cocktail on offer: I’ll Have What Wayne’s Having. Veg/non-alc options.",Friday 15:00 - 17:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Friday,15:00,18:00,Healing Kiss,BROOD,Healing Sessions,"1-on-1 healing sessions, including massage, reiki, sound healing, breathwork, and other modalities.",Friday 15:00 - 18:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0263,L0254,Friday,15:00,16:00,Ironic Spin,SANDSTORM,Bubbles and Bubbles,Taste bubbles from around the world while you blow bubbles and learn from a master of champagne. Champagne is rife with romance and chaos so let’s involve some bubble blowing too.,Friday 15:00 - 16:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0282,L0273,Friday,15:00,17:00,Ittakesa Village, SPARK,Tacos in the Village,Tacos at ITTAKESA Village! Two camps team up to host the best taco party eva!,Friday 15:00 - 17:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0317,L0307,Friday,15:00,19:47,Magical Mystery (Bus) Cruise,SCORCH,Timeshare Presentation,Are you ready for the opportunity of a lifetime? Experience what Magical Mystery Cruise vacation ownership can offer you. Take a seat in the Salty Seal Lounge presentation will be starting soon. The longer you stay the more vacation points you earn!,Friday 15:00 - 19:47,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0324,L0314,Friday,15:00,16:00,Mahjong Camp,PRECIPITATION,Origami Luck Workshop - Kid Friendly,"Fold a tiny charm of luck, gift it to a stranger, or keep it as your forest talisman. All ages and skill levels welcome.",Friday 15:00 - 16:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0372,L0360,Friday,15:00,17:00,Nauti Norse,SIDEQUEST,Charrrrrrrge!,"Join us in the Tavern to get ready for a charge around Otherworld! War paint, braiding, and liquid courage offered.",Friday 15:00 - 17:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0395,L0383,Friday,15:00,16:00,Nontes,SIDEQUEST,How not to die doing drugs,Like doing drugs? Like not dying? This is the talk for you! Come discuss harm reduction techniques with a harm reduction expert,Friday 15:00 - 16:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
O0421,L0408,Friday,15:00,17:00,Portal Lounge,EVAPORATION,Nadia’s Birthday Bash!,"Did your last birthday suck? Come experience the birthday you wish you had & celebrate our favourite campmate with an OW-birthday. Cupcakes, treats, raunchy beats, pin-the-tail- on-the-raver, pinatas, magic? Who the fuck knows…come party, leave happy.",Friday 15:00 - 17:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0423,L0410,Friday,15:00,16:00,RaveForest Cafe,TINKER,The Hanging Garden Initiative,"Learn to make a macramé plant holder— no experience needed. All supplies included, plus a free plant to take home. Knot, loop, chat with others, and vibe to ambient daytime beats.",Friday 15:00 - 16:00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,,Friday,15:00,16:00,poeTREE,,Erotic poetry reading,Spread out on the mossy the forest floor while you listen to or read your own or others erotic poems. BYOP or read one from our collection. The parched may moisten their soil with a collection of refreshing teas.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Friday,15:00,17:30,Vic Drip,ASHLAND,Camp Proud of You,"Enjoy positive parenting with tea and scones. We offer nonjudgemental listening, loving support, advice (if you want it) and a wholesome mom and dad vibe. We are so glad you are here. We appreciate your unique presence",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
O0444,L0430,Friday,15:00,16:00,Ripple Effect,DOACRACY,Fish Prints,"Create art from an underwater chum in the style of Gyotaku, the Japanese art of making fish prints! Using paint and the participant’s choice of a moist, freshly caught local fish or plastic stand-in, develop new appreciation for the wonder of scales!",Friday 15:00 - 16:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0465,L0450,Friday,15:00,16:00,Sensuary Camp,SIDEQUEST,Synesthetic Sound Sanctuary,"Input overload? Drop in and output some cosmic racket. Bring your instrument, your freakiest self, and your third eye for an open jam inside the Sensuary.",Friday 15:00 - 16:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0491,L0475,Friday,15:00,17:00,Sloplandia,SMOLDER,Sloplandia’s Baja Fish Tacos & Margarita Bar,Taco-fuelled mayhem returns to Sloplandia. Come get blasted into flavour country. 100 person limit while supplies and dignity last.,Friday 15:00 - 17:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0526,L0510,Friday,15:00,18:00,Stardust Saloon,CONDENSATION,Stardust “Afternoon Delight” Dance Party ,"Saddle up cowpokes! The Stardust Saloon is hosting a hoedown. Expect space-y grooves, out-of-this-world moves, the wheel- o-fun, and cosmic juices to fuel up your get-down.",Friday 15:00 - 18:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0544,L0527,Friday,15:00,20:00,Camp Who Says Ni,YES...AND?,Medieval Foam Sword Play,"Foam Sword play fighting with Master Godvonrav. Ever wanted to sword fight your friends? Come on by for a chance to pick up a foam sword, learn how to lunge and dodge, and duel for Otherworld sword fending Champion!",Friday 15:00 - 20:00,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0553,L0536,Friday,15:00,19:00,The Cottage,DOACRACY,Disco strands,A hair tinsel experience-strands of tinsel are installed so your hair catches the light all weekend long!,Friday 15:00 - 19:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0554,L0537,Friday,15:00,16:00,The Cottage,DOACRACY,70’s - Studio 54,Dance to some dazzlingly decadent disco.,Friday 15:00 - 16:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0575,L0558,Friday,15:00,16:00,The Cottage,DOACRACY,Disco Strands Hair Design,Come get tiny threads of tinsel light woven into your hair so you can shimmer like a piece of night magic!,Friday 15:00 - 16:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0595,L0577,Friday,15:00,16:00,The Fizzy Familiar,YES...AND?,Tavern Time with Bardy B,"A wild Bard appears! Bardy B has crashed through the portal, constitution save failed, and isn’t leaving until everyone knows the words. Sea shanties! Ancient Celtic bangers! Songs about roseate equestrian establishments! Bring your voice & a flagon.",Friday 15:00 - 16:00,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
O0650,L0629,Friday,15:00,16:30,Playing with the Elements,somewhere,Re-wilding yoga and dance flow,"ROOTS grounding through your feet, WATER flowing through your hips, FIRE alive in your core, AIR expanding in your breath, & the FREEDOM of your authenticity",Friday 15:00 - 16:30,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,,Friday,15:00,16:00,Tune Camp,BLACK ROCK,"The Good Dark with Marie Metaphor and
Robbie Sherriff","The Good Dark features new spoken word poetry by Marie Metaphor and original musical accompaniment by Robbie Sherriff. These poem-songs explore the frontiers where light meets dark, where gratitude meets grief and  here worry meets love",,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O0389,L0377,Friday,15:30,16:30,NERRRRRDS,YES...AND?,Shaft Shack,Come enjoy the finest cocktail you’ll ever have and get shafted. Stay for the greatest game show; Can You Lick It?,Friday 15:30 - 16:30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
,,Friday,15:30,16:00,True Love Temple,BROOD,Chakra Toning with Taiya,"Guided vocal chakra toning. Align your chakras, body, mind and soul with your voice.",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0181,L0177,Friday,15:33,16:56,Empowerment Camp,TINKER,Pole and Lube wrestling,"This might happen? You don’t know what to expect, and neither do we. We will keep working your way and bring the things and see what happens .",Friday 15:33 - 16:56,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
O0215,L0211,Friday,15:33,16:44,Flamingo camp,DOACRACY,The Mandatory Tinfoil Hat Making Workshop,"Block the “Big Dust” mind-beams! Join us to craft high- fashion cranium shields. Learn Crinkle Theory, avoid “Brain-Boil,” and look like a stylish baked potato. 100% signal privacy for the truly paranoid.",Friday 15:33 - 16:44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Friday,15:33,19:06,Reframing, SPARK,Treasure Box,Come Hither all ye children and inner children to the Inner Child Post Box to find the box of old treasures. There’s one for everyone but leave the rest for your mates. Yarrr. (Open 9am-2am - come by anytime),Friday 15:33 - 19:06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0358,L0346,Friday,15:45,16:45,Temple of Jeff,SMOLDER,Sandstorm- sing-along,Shhhhhh can you hear it? Let the winds of sand blow you towards Cult de sac. Maybe you’ll learn the ancient sounds of Acapella Sandstorm.,Friday 15:45 - 16:45,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,,Friday,16:00,17:30,Babylon,SIDEQUEST,Rope Workshop,"Gabriel (7 years exp) leads a fun shibari rope workshop. Focusing on connection, safety and consent, learn how to use the humble single column tie for spicy bedroom play. Solo or partnered, everyone is welcome! Bring rope or borrow ours (19+)",Friday 16:00 - 17:30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
O0245,L0238,Friday,16:00,17:30,Healing Kiss,BROOD,Breathwave Ceremony,Feeling stimmed? Come regulate your nervous system with a gently guided approach to Conscious Connected Breathwork. Reconnecting you to the magic that you are.,Friday 16:00 - 17:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
